Rating,Comment
5,"Its the worst phone we have ever seen. It keeps on hanging and keeps on opening anything even when we are on a call. If we open any app , then we first have to switch it off then the app works otherwise it will not work.So its requested to not take the phone."
3,very bad phone  nothing phone is nothing net work issue connecting very slow
5,NiceHandling
5,Good product 
4,Stylish and big screen performance better and when you use screen guard then the phones touching sensitivity lacked
4,Good
5,Product is best but delivery boy s behaviour is very very bed
5,Value for money product
4,Good product
5,Return policy not available.Camera quality is too poor
4,Money west
4,Nice
5,Nice phone for pric
5,nice phone
5,Great Product
5,Best in this price
5,Cc
4,Good
5,Super 
3,Simple and good
5,Nice mobile.
5,Worst phone and Flipkart is not even returning..
5,For this price range this has the best features and performance is good as well. Touch screen is far better than the cheap phones.
4,The heptics is good but battery is poor . Touch and feel is amazing with good wide display.
5,Very well researched phone. Value for money buy.
5,"Phone is Ok based on the price, however less stars due to delayed delivery by Flipkart. They are never on time."
5,Nice prod
5,One with worth
4,Nice 
4,"Very nice phone. Screen works very smoothly. No lags. When plugged for charging, phone makes screeching sound for 12 seconds. Other than that everything works very smoothly."
4,Wonderful phoneGood workingAnd looking to good
5,For the price range it gives outstanding performance looks and camera qualityVery nice product  value for money
4,Very good phone value for money
5,Fully Packed features.
4,Phone is very good  price is high
5,Nice product
5,Value for money
4,Waste fr
5,Good innovated design best performance display refresh rate is smooth
5,"I have placed order for Nothing CMF on 17 July and got my order on 18 July and am publishing this review after using this for 4 days. The performance of this phone is really amazing, phone look is also amazing."
